,name,price,address,information,url,Hãng xe,Năm đăng ký,Tình trạng,Loại xe máy,Dung tích xe máy,Xuất xứ,Màu xe,Dòng xe,Số km đã đi,Giá
0,CẦN BÁN XE MÁY HONDA VISION 110 ĐỜI 2022,15000000,"Quận 5, TP.HCM","{""Hãng xe"": ""Honda"", ""Năm đăng ký"": ""2022"", ""Tình trạng"": ""Mới"", ""Loại xe máy"": ""Tay ga"", ""Dung tích xe máy"": ""101 - 175 cc"", ""Xuất xứ"": ""Nước khác"", ""Màu xe"": ""Đen""}",https://muaban.net/xe-may/ban-xe-may/can-ban-xe-may-honda-vision-110-doi-2022-id68793722,Honda,2022,Mới,Tay ga,101 - 175 cc,Nước khác,Đen,,,
1,"Chuyên thu mua các loại xe máy cũ và mới, xe hải quan, giá cao",0,"Quận Đống Đa, Hà Nội",{},https://muaban.net/xe-may/mua-xe-may/chuyen-thu-mua-cac-loai-xe-may-cu-va-moi-xe-hai-quan-gia-cao-id68128414,,,,,,,,,,
2,HEAD SƠN TÙNG 1 - TRỢ GIÁ MUA XE TƯNG BỪNG-VUI ĐÓN HÈ SANG,31990000,"Huyện Hoài Đức, Hà Nội","{""Hãng xe"": ""Honda"", ""Tình trạng"": ""Mới"", ""Loại xe máy"": ""Tay côn/Moto""}",https://muaban.net/xe-may/ban-xe-may/head-son-tung-1-tro-gia-mua-xe-tung-bung-vui-don-he-sang-id68426399,Honda,,Mới,Tay côn/Moto,,,,,,
3,Cần thanh lý lô xe honda AirBlade 150 nhập khẩu,19000000,"TP. Thủ Đức - Quận 9, TP.HCM","{""Hãng xe"": ""Honda"", ""Dòng xe"": ""Air Blade"", ""Năm đăng ký"": ""2022"", ""Tình trạng"": ""Mới"", ""Loại xe máy"": ""Tay ga"", ""Dung tích xe máy"": ""101 - 175 cc"", ""Xuất xứ"": ""Nước khác"", ""Màu xe"": ""Đen""}",https://muaban.net/xe-may/ban-xe-may/can-thanh-ly-lo-xe-honda-airblade-150-nhap-khau-id68752700,Honda,2022,Mới,Tay ga,101 - 175 cc,Nước khác,Đen,Air Blade,,
4,CẦN BÁN XE MÁY HONDA SH150 ĐỜI 2022,32000000,"Quận 5, TP.HCM","{""Hãng xe"": ""Honda"", ""Dòng xe"": ""SH"", ""Năm đăng ký"": ""2023"", ""Tình trạng"": ""Mới"", ""Loại xe máy"": ""Tay ga"", ""Dung tích xe máy"": ""101 - 175 cc"", ""Xuất xứ"": ""Nước khác"", ""Màu xe"": ""Ghi/Xám""}",https://muaban.net/xe-may/ban-xe-may/can-ban-xe-may-honda-sh150-doi-2022-id68793773,Honda,2023,Mới,Tay ga,101 - 175 cc,Nước khác,Ghi/Xám,SH,,
5,"Chính chủ cần bán chiếc xe Airblade màu đen,xe sử dụng tốt.",8000000,"Quận Đống Đa, Hà Nội","{""Hãng xe"": ""Honda"", ""Dòng xe"": ""Air Blade"", ""Tình trạng"": ""Đã sử dụng"", ""Loại xe máy"": ""Tay ga"", ""Dung tích xe máy"": ""101 - 175 cc"", ""Xuất xứ"": ""Nhật Bản"", ""Màu xe"": ""Đen""}",https://muaban.net/xe-may/ban-xe-may/chinh-chu-can-ban-chiec-xe-airblade-mau-den-xe-su-dung-tot-id68835893,Honda,,Đã sử dụng,Tay ga,101 - 175 cc,Nhật Bản,Đen,Air Blade,,
6,Bán exciter 135 đời 2013 bst giấy tờ đầy đủ!,12000000,"Quận Tân Phú, TP.HCM","{""Hãng xe"": ""Yamaha"", ""Dòng xe"": ""Exciter"", ""Năm đăng ký"": ""2013"", ""Tình trạng"": ""Đã sử dụng"", ""Số km đã đi"": ""28.596"", ""Loại xe máy"": ""Tay côn/Moto"", ""Dung tích xe máy"": ""101 - 175 cc"", ""Xuất xứ"": ""Việt nam"", ""Màu xe"": ""Xanh dương""}",https://muaban.net/xe-may/ban-xe-may/ban-exciter-135-doi-2013-bst-giay-to-day-du-id68864397,Yamaha,2013,Đã sử dụng,Tay côn/Moto,101 - 175 cc,Việt nam,Xanh dương,Exciter,28.596,
7,CẦN BÁN XE MÁY HONDA SH MODE  ĐỜI 2023,23000000,"Quận 5, TP.HCM","{""Hãng xe"": ""Honda"", ""Dòng xe"": ""SH Mode"", ""Năm đăng ký"": ""2023"", ""Tình trạng"": ""Mới"", ""Loại xe máy"": ""Tay ga"", ""Dung tích xe máy"": ""101 - 175 cc"", ""Xuất xứ"": ""Nước khác"", ""Màu xe"": ""Xanh da trời""}",https://muaban.net/xe-may/ban-xe-may/can-ban-xe-may-honda-sh-mode-doi-2023-id68793759,Honda,2023,Mới,Tay ga,101 - 175 cc,Nước khác,Xanh da trời,SH Mode,,
8,Cần thanh lý xe Honda Visoin 2022,17000000,"TP. Thủ Đức - Quận 9, TP.HCM","{""Hãng xe"": ""Honda"", ""Dòng xe"": ""Vision"", ""Năm đăng ký"": ""2022"", ""Tình trạng"": ""Mới"", ""Loại xe máy"": ""Tay ga"", ""Dung tích xe máy"": ""101 - 175 cc"", ""Xuất xứ"": ""Nước khác"", ""Màu xe"": ""Đen""}",https://muaban.net/xe-may/ban-xe-may/can-thanh-ly-xe-honda-visoin-2022-id68752760,Honda,2022,Mới,Tay ga,101 - 175 cc,Nước khác,Đen,Vision,,
9,"Bán xe số wave 50 cc, hqld, bstphcm, êm đề đèn",6500000,"Quận Bình Tân, TP.HCM","{""Hãng xe"": ""Honda"", ""Dòng xe"": ""Wave"", ""Năm đăng ký"": ""2011"", ""Tình trạng"": ""Đã sử dụng"", ""Số km đã đi"": ""33.333"", ""Loại xe máy"": ""Xe số"", ""Dung tích xe máy"": ""50 - 100 cc"", ""Xuất xứ"": ""Hàn Quốc"", ""Màu xe"": ""Đỏ""}",https://muaban.net/xe-may/ban-xe-may/ban-xe-so-wave-50-cc-hqld-bstphcm-em-de-den-id68812020,Honda,2011,Đã sử dụng,Xe số,50 - 100 cc,Hàn Quốc,Đỏ,Wave,33.333,
